flight_id,time,latitude,longitude,altitude
flight_id,time,latitude,longitude,altitude
1,2022-01-20 13:00:00,0.2000,0.2000,11000
1,2022-01-20 13:01:00,0.2200,0.2200,11034
1,2022-01-20 13:02:00,0.2400,0.2400,11069
1,2022-01-20 13:03:00,0.2600,0.2600,11103
1,2022-01-20 13:04:00,0.2800,0.2800,11138
1,2022-01-20 13:05:00,0.3000,0.3000,11172
1,2022-01-20 13:06:00,0.3200,0.3200,11207
1,2022-01-20 13:07:00,0.3400,0.3400,11241
1,2022-01-20 13:08:00,0.3600,0.3600,11276
1,2022-01-20 13:09:00,0.3800,0.3800,11310
1,2022-01-20 13:10:00,0.4000,0.4000,11345
1,2022-01-20 13:11:00,0.4200,0.4200,11379
1,2022-01-20 13:12:00,0.4400,0.4400,11414
1,2022-01-20 13:13:00,0.4600,0.4600,11448
1,2022-01-20 13:14:00,0.4800,0.4800,11483
1,2022-01-20 13:15:00,0.5000,0.5000,11517
1,2022-01-20 13:16:00,0.5200,0.5200,11552
1,2022-01-20 13:17:00,0.5400,0.5400,11586
1,2022-01-20 13:18:00,0.5600,0.5600,11621
1,2022-01-20 13:19:00,0.5800,0.5800,11655
1,2022-01-20 13:20:00,0.6000,0.6000,11690
1,2022-01-20 13:21:00,0.6200,0.6200,11724
1,2022-01-20 13:22:00,0.6400,0.6400,11759
1,2022-01-20 13:23:00,0.6600,0.6600,11793
1,2022-01-20 13:24:00,0.6800,0.6800,11828
1,2022-01-20 13:25:00,0.7000,0.7000,11862
1,2022-01-20 13:26:00,0.7200,0.7200,11897
1,2022-01-20 13:27:00,0.7400,0.7400,11931
1,2022-01-20 13:28:00,0.7600,0.7600,11966
1,2022-01-20 13:29:00,0.7800,0.7800,12000
2,2022-01-20 13:00:00,0.8000,0.2000,12000
2,2022-01-20 13:01:00,0.7800,0.2200,11966
2,2022-01-20 13:02:00,0.7600,0.2400,11931
2,2022-01-20 13:03:00,0.7400,0.2600,11897
2,2022-01-20 13:04:00,0.7200,0.2800,11862
2,2022-01-20 13:05:00,0.7000,0.3000,11828
2,2022-01-20 13:06:00,0.6800,0.3200,11793
2,2022-01-20 13:07:00,0.6600,0.3400,11759
2,2022-01-20 13:08:00,0.6400,0.3600,11724
2,2022-01-20 13:09:00,0.6200,0.3800,11690
2,2022-01-20 13:10:00,0.6000,0.4000,11655
